,,,,,,,Playing Time,,,,Performance,,,,,,Per 90 Minutes,,,,,Expected,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
448,Neco Williams,wal WAL,DF,Liverpool,19-268,2001,4,2,173,1.9,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.03,0.08,0.11,0.03,0.11,Matches
449,Rhys Williams,eng ENG,DF,Liverpool,19-338,2001,2,1,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.03,0.14,0.17,0.03,0.17,Matches
450,Willian,br BRA,"FW,MF",Arsenal,32-150,1988,13,12,902,10,0,3,0,0,0,0,0,0.3,0.3,0,0.3,1.2,1.2,1.3,0.12,0.13,0.26,0.12,0.26,Matches
451,Joe Willock,eng ENG,MF,Arsenal,21-139,1999,6,2,237,2.6,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.17,0.02,0.18,0.17,0.18,Matches
452,Callum Wilson,eng ENG,FW,Newcastle Utd,28-314,1992,14,14,"1,237",13.7,8,3,4,4,2,0,0.58,0.22,0.8,0.29,0.51,7.3,4.3,1.2,0.53,0.08,0.62,0.31,0.39,Matches
453,Harry Winks,eng ENG,MF,Tottenham,24-339,1996,7,5,449,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0.1,0,0.03,0.03,0,0.03,Matches
454,Chris Wood,nz NZL,FW,Burnley,29-030,1991,15,15,"1,288",14.3,3,0,0,0,0,0,0.21,0,0.21,0.21,0.21,5.9,5.9,0.8,0.41,0.06,0.47,0.41,0.47,Matches
455,Granit Xhaka,ch SUI,MF,Arsenal,28-101,1992,13,12,996,11.1,1,0,0,0,2,1,0.09,0,0.09,0.09,0.09,0.6,0.6,0.1,0.05,0.01,0.06,0.05,0.06,Matches
456,Andriy Yarmolenko,ua UKR,"FW,MF",West Ham,31-075,1989,9,1,247,2.7,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.8,0.07,0.28,0.35,0.07,0.35,Matches
457,DeAndre Yedlin,us USA,DF,Newcastle Utd,27-181,1993,5,4,353,3.9,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.01,0.03,0.04,0.01,0.04,Matches
458,Wilfried Zaha,ci CIV,FW,Crystal Palace,28-057,1992,15,15,"1,340",14.9,8,2,2,2,3,0,0.54,0.13,0.67,0.4,0.54,5.4,3.8,2,0.36,0.13,0.49,0.26,0.39,Matches
459,Andre-Frank Zambo Anguissa,cm CMR,MF,Fulham,25-051,1995,15,13,"1,194",13.3,0,2,0,0,2,0,0,0.15,0.15,0,0.15,1,1,1.2,0.07,0.09,0.16,0.07,0.16,Matches
460,Andi Zeqiri,ch SUI,"FW,DF",Brighton,21-198,1999,2,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.44,0,0.44,0.44,0.44,Matches
461,Oleksandr Zinchenko,ua UKR,DF,Manchester City,24-022,1996,2,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.14,0,0.14,0.14,0.14,Matches
462,Hakim Ziyech,ma MAR,FW,Chelsea,27-293,1993,8,6,451,5,1,3,0,0,1,0,0.2,0.6,0.8,0.2,0.8,0.5,0.5,2.1,0.09,0.41,0.5,0.09,0.5,Matches
463,Kurt Zouma,fr FRA,DF,Chelsea,26-071,1994,15,15,"1,350",15,4,0,0,0,1,0,0.27,0,0.27,0.27,0.27,0.9,0.9,0,0.06,0,0.07,0.06,0.07,Matches
