,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
300,Wilfred Ndidi,ng NGA,"MF,DF",Leicester City,24-021,1996,7.1,0,2,0,0,0.28,0,0,,12.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
301,Tanguy Ndombele,fr FRA,MF,Tottenham,24-009,1996,8.9,2,9,5,55.6,1.01,0.56,0.22,0.4,15.6,0,0,0,1,1,0.11,1,1,Matches
302,Reiss Nelson,eng ENG,FW,Arsenal,21-027,1999,0.8,0,1,0,0,1.27,0,0,,11.7,0,0,0,0,0,0.05,0,0,Matches
303,Pedro Neto,pt POR,"FW,MF",Wolves,20-303,2000,15,4,32,12,37.5,2.13,0.8,0.13,0.33,19.2,0,0,0,2.3,2.3,0.07,1.7,1.7,Matches
304,Rúben Neves,pt POR,MF,Wolves,23-299,1997,12.8,1,28,7,25,2.19,0.55,0,0,26,4,1,1,1.8,1.1,0.04,-0.8,-1.1,Matches
305,Eddie Nketiah,eng ENG,FW,Arsenal,21-221,1999,3.5,1,6,4,66.7,1.71,1.14,0.17,0.25,14,0,0,0,1.1,1.1,0.19,-0.1,-0.1,Matches
306,Niels Nkounkou,fr FRA,DF,Everton,20-066,2000,0.8,0,1,0,0,1.32,0,0,,26.8,0,0,0,0,0,0.02,0,0,Matches
307,Dan Nlundulu,eng ENG,FW,Southampton,21-336,1999,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
308,Mark Noble,eng ENG,MF,West Ham,33-243,1987,2.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
309,Oliver Norwood,nir NIR,MF,Sheffield Utd,29-269,1991,6.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
310,Jack O'Connell,eng ENG,DF,Sheffield Utd,26-283,1994,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
311,Dara O'Shea,ie IRL,DF,West Brom,21-308,1999,11.1,0,2,0,0,0.18,0,0,,13.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
312,Michael Obafemi,ie IRL,FW,Southampton,20-184,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
313,Denis Odoi,be BEL,DF,Fulham,32-224,1988,3,0,2,1,50,0.67,0.33,0,0,23.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
314,Angelo Ogbonna,it ITA,DF,West Ham,32-228,1988,16.7,2,7,3,42.9,0.42,0.18,0.29,0.67,8.5,0,0,0,0.7,0.7,0.1,1.3,1.3,Matches
315,Robin Olsen,se SWE,GK,Everton,30-364,1990,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
316,Josh Onomah,eng ENG,MF,Fulham,23-254,1997,1.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
317,Divock Origi,be BEL,FW,Liverpool,25-263,1995,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
318,Ben Osborn,eng ENG,"MF,DF",Sheffield Utd,26-154,1994,7.5,0,2,1,50,0.27,0.13,0,0,15.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
319,Owen Otasowie,us USA,MF,Wolves,19-261,2001,1.3,0,2,0,0,1.55,0,0,,10,0,0,0,0.4,0.4,0.21,-0.4,-0.4,Matches
320,Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,27-144,1993,0.9,0,2,0,0,2.25,0,0,,22.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
321,Emerson Palmieri,it ITA,DF,Chelsea,26-156,1994,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
322,Thomas Partey,gh GHA,MF,Arsenal,27-207,1993,3.1,0,5,2,40,1.62,0.65,0,0,22.4,0,0,0,0.5,0.5,0.1,-0.5,-0.5,Matches
323,Rui Patrício,pt POR,GK,Wolves,32-326,1988,17,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
324,Bailey Peacock-Farrell,nir NIR,GK,Burnley,24-069,1996,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
325,Lee Peltier,eng ENG,DF,West Brom,34-026,1986,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
326,Nicolas Pépé,ci CIV,"FW,MF",Arsenal,25-222,1995,5.1,2,12,4,33.3,2.37,0.79,0.08,0.25,19.8,1,1,1,1.7,0.9,0.08,0.3,0.1,Matches
327,Matheus Pereira,br BRA,"MF,FW",West Brom,24-246,1996,10.2,1,17,5,29.4,1.66,0.49,0.06,0.2,21.2,4,0,0,0.8,0.8,0.05,0.2,0.2,Matches
328,Ayoze Pérez,es ESP,"MF,FW",Leicester City,27-167,1993,6,1,15,4,26.7,2.51,0.67,0.07,0.25,16.7,1,0,0,1.7,1.7,0.11,-0.7,-0.7,Matches
329,Kalvin Phillips,eng ENG,MF,Leeds United,25-035,1995,13.5,0,8,3,37.5,0.59,0.22,0,0,24.5,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
330,Matt Phillips,sco SCO,"MF,DF",West Brom,29-299,1991,7.2,0,7,4,57.1,0.97,0.56,0,0,25.6,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
331,Nathaniel Phillips,eng ENG,DF,Liverpool,23-291,1997,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
332,Jordan Pickford,eng ENG,GK,Everton,26-305,1994,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
333,Erik Pieters,nl NED,"DF,MF",Burnley,32-152,1988,4,0,2,1,50,0.5,0.25,0,0,10.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
334,Daniel Podence,pt POR,"FW,MF",Wolves,25-077,1995,12.4,3,25,13,52,2.01,1.05,0.12,0.23,16.2,0,0,0,2.6,2.6,0.1,0.4,0.4,Matches
335,Paul Pogba,fr FRA,"MF,FW",Manchester Utd,27-297,1993,9.6,1,12,5,41.7,1.25,0.52,0.08,0.2,17.3,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
336,Nick Pope,eng ENG,GK,Burnley,28-262,1992,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
337,Dennis Praet,be BEL,"MF,FW",Leicester City,26-237,1994,7.3,1,8,2,25,1.1,0.28,0.13,0.5,16.1,0,0,0,0.5,0.5,0.07,0.5,0.5,Matches
338,Davy Pröpper,nl NED,MF,Brighton,29-126,1991,1.2,0,3,1,33.3,2.41,0.8,0,0,14.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
339,Christian Pulisic,us USA,"FW,MF",Chelsea,22-110,1998,7.7,1,18,5,27.8,2.33,0.65,0.06,0.2,15.4,0,0,0,2.2,2.2,0.12,-1.2,-1.2,Matches
340,Aaron Ramsdale,eng ENG,GK,Sheffield Utd,22-237,1998,17,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
341,Jacob Ramsey,eng ENG,"MF,FW",Aston Villa,19-223,2001,1.4,0,4,0,0,2.86,0,0,,18.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
342,Darren Randolph,ie IRL,GK,West Ham,33-239,1987,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
343,Marcus Rashford,eng ENG,FW,Manchester Utd,23-067,1997,15.1,7,43,20,46.5,2.84,1.32,0.16,0.35,17.2,1,0,0,6.2,6.2,0.14,0.8,0.8,Matches
344,Tim Ream,us USA,DF,Fulham,33-093,1987,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
345,Nathan Redmond,eng ENG,MF,Southampton,26-306,1994,4.5,1,11,3,27.3,2.46,0.67,0.09,0.33,16,0,0,0,1.1,1.1,0.1,-0.1,-0.1,Matches
346,Harrison Reed,eng ENG,MF,Fulham,25-345,1995,7.9,0,4,1,25,0.5,0.13,0,0,28.4,0,0,0,0.1,0.1,0.01,-0.1,-0.1,Matches
347,Sergio Reguilón,es ESP,DF,Tottenham,24-021,1996,9.8,0,10,3,30,1.02,0.31,0,0,21.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
348,Bobby Reid,jm JAM,"DF,FW",Fulham,27-339,1993,10.3,4,14,6,42.9,1.35,0.58,0.29,0.67,17.1,0,0,0,2.5,2.5,0.18,1.5,1.5,Matches
349,Declan Rice,eng ENG,MF,West Ham,21-358,1999,17,0,9,1,11.1,0.53,0.06,0,0,19.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
350,Richarlison,br BRA,FW,Everton,23-241,1997,11.1,2,31,13,41.9,2.8,1.18,0.03,0.08,15.1,0,1,1,4.1,3.3,0.11,-2.1,-2.3,Matches
351,Jaïro Riedewald,nl NED,MF,Crystal Palace,24-119,1996,6.7,1,3,1,33.3,0.45,0.15,0.33,1,15,0,0,0,0.5,0.5,0.17,0.5,0.5,Matches
352,Matt Ritchie,sco SCO,"DF,MF",Newcastle Utd,31-118,1989,5.7,0,4,1,25,0.7,0.18,0,0,23.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
353,Tyler Roberts,wal WAL,"MF,FW",Leeds United,21-360,1999,2.7,0,2,1,50,0.74,0.37,0,0,22.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
354,Andrew Robertson,sco SCO,DF,Liverpool,26-301,1994,17,1,7,2,28.6,0.41,0.12,0.14,0.5,15,0,0,0,0.8,0.8,0.12,0.2,0.2,Matches
355,Antonee Robinson,us USA,DF,Fulham,23-151,1997,12,0,3,2,66.7,0.25,0.17,0,0,14.4,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
356,Callum Robinson,ie IRL,"FW,MF",West Brom,25-339,1995,9.4,2,13,4,30.8,1.38,0.43,0.15,0.5,25.5,0,0,0,0.6,0.6,0.05,1.4,1.4,Matches
357,Jack Robinson,eng ENG,DF,Sheffield Utd,27-127,1993,6.7,0,3,0,0,0.44,0,0,,9.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
358,Hal Robson-Kanu,wal WAL,"FW,MF",West Brom,31-230,1989,1.6,0,4,2,50,2.54,1.27,0,0,24.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
359,Marek Rodák,sk SVK,GK,Fulham,24-024,1996,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
360,Joe Rodon,wal WAL,DF,Tottenham,23-076,1997,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
361,Rodri,es ESP,MF,Manchester City,24-198,1996,14.1,0,16,4,25,1.13,0.28,0,0,21.8,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
362,Rodrigo,es ESP,MF,Leeds United,29-306,1991,9.1,3,32,11,34.4,3.53,1.21,0.09,0.27,14.9,1,0,0,3.5,3.5,0.11,-0.5,-0.5,Matches
363,James Rodríguez,co COL,"FW,MF",Everton,29-178,1991,9.6,3,22,11,50,2.28,1.14,0.14,0.27,20.1,2,0,0,2.2,2.2,0.1,0.8,0.8,Matches
364,Jay Rodriguez,eng ENG,"FW,MF",Burnley,31-161,1989,6.2,0,9,1,11.1,1.45,0.16,0,0,17.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
365,Oriol Romeu,es ESP,MF,Southampton,29-104,1991,14.5,1,12,4,33.3,0.83,0.28,0.08,0.25,24.3,0,0,0,0.3,0.3,0.03,0.7,0.7,Matches
366,Antonio Rüdiger,de GER,DF,Chelsea,27-309,1993,2,0,2,1,50,1,0.5,0,0,9.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
367,Mathew Ryan,au AUS,GK,Brighton,28-273,1992,11,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
368,Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,23-300,1997,6.5,1,7,4,57.1,1.08,0.62,0.14,0.25,20.1,0,0,0,0.8,0.8,0.11,0.2,0.2,Matches
369,Romain Saïss,ma MAR,DF,Wolves,30-286,1990,11.7,3,15,7,46.7,1.28,0.6,0.2,0.43,12.3,1,0,0,1.3,1.3,0.09,1.7,1.7,Matches
370,Bukayo Saka,eng ENG,"FW,DF",Arsenal,19-123,2001,13.7,3,34,12,35.3,2.49,0.88,0.09,0.25,15.2,1,0,0,3.8,3.8,0.11,-0.8,-0.8,Matches
371,Mamadou Sakho,fr FRA,DF,Crystal Palace,30-328,1990,3.1,0,1,0,0,0.33,0,0,,12,0,0,0,0,0,0.02,0,0,Matches
372,Mohamed Salah,eg EGY,FW,Liverpool,28-205,1992,15,13,48,21,43.8,3.2,1.4,0.17,0.38,16.4,1,5,5,9.4,5.6,0.12,3.6,2.4,Matches
373,Davinson Sánchez,co COL,DF,Tottenham,24-208,1996,5,0,4,0,0,0.8,0,0,,6,0,0,0,0.7,0.7,0.18,-0.7,-0.7,Matches
374,Robert Sánchez,es ESP,GK,Brighton,23-049,1997,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
375,Romaine Sawyers,kn SKN,MF,West Brom,29-065,1991,12.7,0,3,0,0,0.24,0,0,,24.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
376,Fabian Schär,ch SUI,DF,Newcastle Utd,29-017,1991,7.6,0,1,0,0,0.13,0,0,,25,0,0,0,0,0,0.04,0,0,Matches
377,Jeffrey Schlupp,gh GHA,MF,Crystal Palace,28-014,1992,10.8,2,13,6,46.2,1.2,0.55,0.15,0.33,12,0,0,0,1.3,1.3,0.1,0.7,0.7,Matches
378,Kasper Schmeichel,dk DEN,GK,Leicester City,34-062,1986,17,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
379,Nélson Semedo,pt POR,DF,Wolves,27-051,1993,13.7,0,10,3,30,0.73,0.22,0,0,23.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
380,Jamie Shackleton,eng ENG,"MF,DF",Leeds United,21-090,1999,3.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
381,Xherdan Shaqiri,ch SUI,"MF,FW",Liverpool,29-088,1991,1,0,1,0,0,1.02,0,0,,19.3,0,0,0,0,0,0.03,0,0,Matches
382,Billy Sharp,eng ENG,"FW,MF",Sheffield Utd,34-336,1986,2.1,1,2,0,0,0.94,0,0,,9.6,0,1,1,1.1,0.4,0.18,-0.1,-0.4,Matches
383,Luke Shaw,eng ENG,DF,Manchester Utd,25-178,1995,10.9,0,1,1,100,0.09,0.09,0,0,20,0,0,0,0,0,0.02,0,0,Matches
384,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,28-314,1992,8.1,0,13,3,23.1,1.61,0.37,0,0,22.6,4,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
385,Gylfi Sigurðsson,is ISL,MF,Everton,31-120,1989,9.2,2,14,3,21.4,1.53,0.33,0.07,0.33,20.9,2,1,1,2,1.2,0.09,0,-0.2,Matches
386,Bernardo Silva,pt POR,"FW,MF",Manchester City,26-149,1994,7.2,0,8,3,37.5,1.12,0.42,0,0,13.1,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
387,Fábio Silva,pt POR,FW,Wolves,18-171,2002,5.9,1,15,3,20,2.56,0.51,0,0,12.7,0,1,1,1.9,1.2,0.08,-0.9,-1.2,Matches
388,Thiago Silva,br BRA,DF,Chelsea,36-106,1984,11.8,2,6,3,50,0.51,0.25,0.33,0.67,7.3,0,0,0,0.7,0.7,0.11,1.3,1.3,Matches
389,Moussa Sissoko,fr FRA,MF,Tottenham,31-143,1989,11.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
390,Islam Slimani,dz ALG,FW,Leicester City,32-202,1988,0.2,0,1,0,0,4.5,0,0,,11.1,0,0,0,0,0,0.04,0,0,Matches
391,William Smallbone,ie IRL,MF,Southampton,20-320,2000,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
392,Emile Smith-Rowe,eng ENG,MF,Arsenal,20-162,2000,2.5,0,2,0,0,0.79,0,0,,12,0,0,0,0.5,0.5,0.23,-0.5,-0.5,Matches
393,Robert Snodgrass,sco SCO,"FW,DF",West Ham,33-121,1987,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
394,Cédric Soares,pt POR,MF,Arsenal,29-128,1991,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
395,Tomáš Sou?ek,cz CZE,MF,West Ham,25-314,1995,17,5,30,12,40,1.76,0.71,0.17,0.42,11.3,0,0,0,4.6,4.6,0.15,0.4,0.4,Matches
396,Ça?lar Söyüncü,tr TUR,DF,Leicester City,24-228,1996,4.1,0,1,0,0,0.24,0,0,,17.5,0,0,0,0,0,0.03,0,0,Matches
397,Zack Steffen,us USA,GK,Manchester City,25-279,1995,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
398,Dale Stephens,eng ENG,MF,Burnley,31-208,1989,2.6,0,4,0,0,1.56,0,0,,19.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
399,Jack Stephens,eng ENG,DF,Southampton,26-345,1994,6.5,0,2,1,50,0.31,0.15,0,0,7.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
400,Raheem Sterling,eng ENG,FW,Manchester City,26-029,1994,13.1,4,28,13,46.4,2.14,0.99,0.14,0.31,13.7,1,0,0,4,4,0.14,0,0,Matches
401,Enda Stevens,ie IRL,DF,Sheffield Utd,30-181,1990,14,0,8,2,25,0.57,0.14,0,0,20.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
402,John Stones,eng ENG,DF,Manchester City,26-223,1994,7,0,2,0,0,0.29,0,0,,15,0,0,0,0.4,0.4,0.18,-0.4,-0.4,Matches
403,Pascal Struijk,nl NED,"DF,MF",Leeds United,21-148,1999,6.3,0,2,0,0,0.32,0,0,,7,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
404,Matt Targett,eng ENG,DF,Aston Villa,25-110,1995,15,0,3,0,0,0.2,0,0,,20.3,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
405,James Tarkowski,eng ENG,DF,Burnley,28-048,1992,13,0,9,3,33.3,0.69,0.23,0,0,9.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
406,Charlie Taylor,eng ENG,DF,Burnley,27-110,1993,14.1,0,2,1,50,0.14,0.07,0,0,20.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
407,Nathan Tella,eng ENG,"FW,MF",Southampton,21-185,1999,1.8,0,2,0,0,1.13,0,0,,22,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
408,Alex Telles,br BRA,DF,Manchester Utd,28-022,1992,4.8,0,3,1,33.3,0.63,0.21,0,0,19.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
409,Kenny Tete,nl NED,DF,Fulham,25-089,1995,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
410,Luke Thomas,eng ENG,DF,Leicester City,,,3,0,2,1,50,0.67,0.33,0,0,16.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
411,Youri Tielemans,be BEL,MF,Leicester City,23-244,1997,16.4,4,21,8,38.1,1.28,0.49,0.1,0.25,23.1,2,2,2,3,1.5,0.07,1,0.5,Matches
412,Kieran Tierney,sco SCO,DF,Arsenal,23-215,1997,15.9,1,7,2,28.6,0.44,0.13,0.14,0.5,22.7,0,0,0,0.2,0.2,0.04,0.8,0.8,Matches
413,James Tomkins,eng ENG,DF,Crystal Palace,31-283,1989,2.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
414,Fikayo Tomori,eng ENG,DF,Chelsea,23-018,1997,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
415,Ferrán Torres,es ESP,FW,Manchester City,20-312,2000,6.3,2,17,7,41.2,2.69,1.11,0.12,0.29,15.5,0,0,0,2.5,2.5,0.15,-0.5,-0.5,Matches
416,Cenk Tosun,tr TUR,FW,Everton,29-213,1991,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
417,Andros Townsend,eng ENG,MF,Crystal Palace,29-174,1991,12.4,1,15,6,40,1.21,0.49,0.07,0.17,22.1,0,0,0,0.8,0.8,0.05,0.2,0.2,Matches
418,Conor Townsend,eng ENG,DF,West Brom,27-308,1993,7.8,0,3,2,66.7,0.38,0.26,0,0,10.2,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
419,Adama Traoré,es ESP,"FW,DF",Wolves,24-347,1996,11.5,0,10,3,30,0.87,0.26,0,0,20.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
420,Bertrand Traoré,bf BFA,"FW,MF",Aston Villa,25-122,1995,6.8,3,19,8,42.1,2.8,1.18,0.16,0.38,15.4,1,0,0,2,2,0.1,1,1,Matches
421,Trézéguet,eg EGY,FW,Aston Villa,26-097,1994,8,0,22,6,27.3,2.77,0.75,0,0,13.3,0,0,0,2.5,2.5,0.12,-2.5,-2.5,Matches
422,Leandro Trossard,be BEL,"FW,MF",Brighton,26-033,1994,11.4,1,25,7,28,2.19,0.61,0.04,0.14,18.4,0,0,0,2.1,2.1,0.08,-1.1,-1.1,Matches
423,Axel Tuanzebe,eng ENG,DF,Manchester Utd,23-053,1997,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
424,Cengiz Ünder,tr TUR,"MF,FW",Leicester City,23-176,1997,2.3,0,6,2,33.3,2.61,0.87,0,0,24.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
425,Yan Valery,fr FRA,MF,Southampton,21-319,1999,0.1,0,1,0,0,10,0,0,,35.2,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches
426,Jamie Vardy,eng ENG,FW,Leicester City,33-361,1987,14.5,11,31,13,41.9,2.14,0.9,0.16,0.38,12.2,0,6,7,11.2,5.9,0.19,-0.2,-0.9,Matches
427,Joël Veltman,nl NED,DF,Brighton,28-357,1992,9.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
428,Jannik Vestergaard,dk DEN,DF,Southampton,28-156,1992,12.5,3,9,5,55.6,0.72,0.4,0.33,0.6,11.8,0,0,0,0.6,0.6,0.06,2.4,2.4,Matches
429,Rúben Vinagre,pt POR,DF,Wolves,21-272,1999,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
430,Carlos Vinícius,br BRA,FW,Tottenham,25-287,1995,0.2,0,2,1,50,11.25,5.63,0,0,15.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
431,Vitinha,pt POR,MF,Wolves,20-328,2000,1.9,0,2,1,50,1.03,0.51,0,0,16.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
432,Mat?j Vydra,cz CZE,FW,Burnley,28-250,1992,1.9,0,5,1,20,2.57,0.51,0,0,18,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
433,Theo Walcott,eng ENG,"MF,FW",Southampton,31-296,1989,11.2,2,21,8,38.1,1.88,0.71,0.1,0.25,20.4,0,0,0,2.1,2.1,0.1,-0.1,-0.1,Matches
434,Theo Walcott,eng ENG,FW,Everton,31-296,1989,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
435,Kyle Walker,eng ENG,DF,Manchester City,30-223,1990,11,1,8,3,37.5,0.73,0.27,0.13,0.33,28.7,0,0,0,0.2,0.2,0.03,0.8,0.8,Matches
436,Kyle Walker-Peters,eng ENG,DF,Southampton,23-268,1997,17,0,8,3,37.5,0.47,0.18,0,0,20.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
437,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,23-041,1997,14,1,3,2,66.7,0.21,0.14,0.33,0.5,17.2,0,0,0,0.3,0.3,0.1,0.7,0.7,Matches
438,Joel Ward,eng ENG,DF,Crystal Palace,31-069,1989,8,0,1,0,0,0.12,0,0,,25,0,0,0,0,0,0.04,0,0,Matches
439,James Ward-Prowse,eng ENG,MF,Southampton,26-066,1994,17,4,16,8,50,0.94,0.47,0.25,0.5,23.2,9,0,0,0.9,0.9,0.06,3.1,3.1,Matches
440,Ollie Watkins,eng ENG,FW,Aston Villa,25-007,1995,15,6,43,16,37.2,2.87,1.07,0.12,0.31,11.8,0,1,2,8.9,7.5,0.17,-2.9,-2.5,Matches
441,Adam Webster,eng ENG,DF,Brighton,26-002,1995,16,0,16,4,25,1,0.25,0,0,13.9,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
442,Danny Welbeck,eng ENG,FW,Brighton,30-041,1990,6.9,2,14,6,42.9,2.03,0.87,0.14,0.33,12.6,0,0,0,2.5,2.5,0.18,-0.5,-0.5,Matches
443,Timo Werner,de GER,FW,Chelsea,24-306,1996,15.1,4,40,16,40,2.65,1.06,0.1,0.25,13.6,0,0,0,6.6,6.6,0.16,-2.6,-2.6,Matches
444,Ashley Westwood,eng ENG,MF,Burnley,30-280,1990,15,1,6,3,50,0.4,0.2,0.17,0.33,20.6,0,0,0,0.3,0.3,0.04,0.7,0.7,Matches
445,Ben White,eng ENG,"DF,MF",Brighton,23-090,1997,15.5,0,1,0,0,0.06,0,0,,18.4,0,0,0,0,0,0.04,0,0,Matches
446,Georginio Wijnaldum,nl NED,MF,Liverpool,30-056,1990,15,1,14,4,28.6,0.93,0.27,0.07,0.25,15.2,1,0,0,2,2,0.14,-1,-1,Matches
447,Brandon Williams,eng ENG,DF,Manchester Utd,20-125,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
448,Neco Williams,wal WAL,DF,Liverpool,19-268,2001,1.9,0,1,0,0,0.52,0,0,,14.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
449,Rhys Williams,eng ENG,DF,Liverpool,19-338,2001,1.3,0,1,0,0,0.74,0,0,,10,0,0,0,0,0,0.04,0,0,Matches
450,Willian,br BRA,"FW,MF",Arsenal,32-150,1988,10,0,11,2,18.2,1.1,0.2,0,0,16.4,2,0,0,1.2,1.2,0.11,-1.2,-1.2,Matches
451,Joe Willock,eng ENG,MF,Arsenal,21-139,1999,2.6,0,4,0,0,1.52,0,0,,10.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
452,Callum Wilson,eng ENG,FW,Newcastle Utd,28-314,1992,13.7,8,21,7,33.3,1.53,0.51,0.19,0.57,10.9,0,4,4,7.3,4.3,0.2,0.7,-0.3,Matches
453,Harry Winks,eng ENG,MF,Tottenham,24-339,1996,5,0,1,0,0,0.2,0,0,,31.8,0,0,0,0,0,0.01,0,0,Matches
454,Chris Wood,nz NZL,FW,Burnley,29-030,1991,14.3,3,27,16,59.3,1.89,1.12,0.11,0.19,10.1,0,0,0,5.9,5.9,0.22,-2.9,-2.9,Matches
455,Granit Xhaka,ch SUI,MF,Arsenal,28-101,1992,11.1,1,10,2,20,0.9,0.18,0.1,0.5,23.5,5,0,0,0.6,0.6,0.06,0.4,0.4,Matches
456,Andriy Yarmolenko,ua UKR,"FW,MF",West Ham,31-075,1989,2.7,0,4,1,25,1.46,0.36,0,0,22.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
457,DeAndre Yedlin,us USA,DF,Newcastle Utd,27-181,1993,3.9,0,2,0,0,0.51,0,0,,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
458,Wilfried Zaha,ci CIV,FW,Crystal Palace,28-057,1992,14.9,8,34,11,32.4,2.28,0.74,0.18,0.55,14.7,0,2,2,5.4,3.8,0.11,2.6,2.2,Matches
