,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
299,Marvelous Nakamba,zw ZIM,MF,Aston Villa,26-353,1994,1.2,1,1,1,0,0,0,1,0,1,22,10,45.5,11,9,2,3,1,0,2,1,2,4,0,Matches
300,Wilfred Ndidi,ng NGA,"MF,DF",Leicester City,24-021,1996,7.1,35,19,18,13,4,6,18,33.3,12,122,47,38.5,57,55,10,22,4,0,18,12,47,25,0,Matches
301,Tanguy Ndombele,fr FRA,MF,Tottenham,24-009,1996,8.9,18,9,3,5,10,5,18,27.8,13,197,55,27.9,49,102,46,15,1,0,14,7,25,7,0,Matches
302,Reiss Nelson,eng ENG,FW,Arsenal,21-027,1999,0.8,0,0,0,0,0,0,0,,0,13,6,46.2,2,6,5,1,0,0,1,1,1,1,0,Matches
303,Pedro Neto,pt POR,"FW,MF",Wolves,20-303,2000,15,12,10,6,3,3,4,17,23.5,13,148,40,27,36,71,41,12,1,0,11,12,24,5,0,Matches
304,Rúben Neves,pt POR,MF,Wolves,23-299,1997,12.8,43,33,25,14,4,19,48,39.6,29,247,77,31.2,110,119,18,31,4,0,27,11,54,30,1,Matches
305,Eddie Nketiah,eng ENG,FW,Arsenal,21-221,1999,3.5,2,2,0,1,1,0,2,0,2,74,10,13.5,8,38,28,7,2,0,5,1,3,4,0,Matches
306,Niels Nkounkou,fr FRA,DF,Everton,20-066,2000,0.8,4,0,2,1,1,1,4,25,3,20,4,20,6,9,5,4,0,0,4,0,4,4,0,Matches
307,Dan Nlundulu,eng ENG,FW,Southampton,21-336,1999,0.4,0,0,0,0,0,0,1,0,1,12,2,16.7,3,4,5,1,0,0,1,0,0,0,0,Matches
308,Mark Noble,eng ENG,MF,West Ham,33-243,1987,2.5,2,1,0,1,1,1,5,20,4,34,6,17.6,10,19,5,1,0,0,1,3,5,0,0,Matches
309,Oliver Norwood,nir NIR,MF,Sheffield Utd,29-269,1991,6.3,11,6,4,6,1,3,19,15.8,16,112,25,22.3,38,60,14,7,2,0,5,9,20,10,0,Matches
310,Jack O'Connell,eng ENG,DF,Sheffield Utd,26-283,1994,2,3,1,1,1,1,0,2,0,2,10,4,40,5,2,3,6,3,0,3,0,3,11,0,Matches
311,Dara O'Shea,ie IRL,DF,West Brom,21-308,1999,11.1,23,15,15,8,0,8,19,42.1,11,114,43,37.7,74,33,7,32,13,0,19,11,34,58,0,Matches
312,Michael Obafemi,ie IRL,FW,Southampton,20-184,2000,0.2,0,0,0,0,0,0,0,,0,6,2,33.3,4,1,1,0,0,0,0,0,0,0,0,Matches
313,Denis Odoi,be BEL,DF,Fulham,32-224,1988,3,3,0,2,1,0,1,4,25,3,23,3,13,11,8,4,6,1,0,5,1,4,11,0,Matches
314,Angelo Ogbonna,it ITA,DF,West Ham,32-228,1988,16.7,16,11,13,2,1,0,9,0,9,131,53,40.5,84,41,6,30,10,0,20,10,26,111,0,Matches
315,Robin Olsen,se SWE,GK,Everton,30-364,1990,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,Matches
316,Josh Onomah,eng ENG,MF,Fulham,23-254,1997,1.5,2,1,0,2,0,0,0,,0,32,9,28.1,2,18,12,1,1,0,0,0,2,0,0,Matches
317,Divock Origi,be BEL,FW,Liverpool,25-263,1995,0.1,1,1,1,0,0,0,0,,0,3,1,33.3,2,0,1,0,0,0,0,0,1,0,0,Matches
318,Ben Osborn,eng ENG,"MF,DF",Sheffield Utd,26-154,1994,7.5,19,11,11,6,2,7,26,26.9,19,166,40,24.1,63,69,34,14,1,0,13,6,25,5,0,Matches
319,Owen Otasowie,us USA,MF,Wolves,19-261,2001,1.3,5,4,3,2,0,0,1,0,1,22,12,54.5,6,13,3,3,1,0,2,3,8,1,0,Matches
320,Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,27-144,1993,0.9,0,0,0,0,0,0,2,0,2,7,3,42.9,0,2,5,2,0,0,2,1,1,0,0,Matches
321,Emerson Palmieri,it ITA,DF,Chelsea,26-156,1994,1,3,2,1,1,1,1,3,33.3,2,14,3,21.4,6,3,5,2,0,0,2,1,4,10,0,Matches
322,Thomas Partey,gh GHA,MF,Arsenal,27-207,1993,3.1,8,6,3,5,0,4,10,40,6,43,19,44.2,12,28,3,4,0,0,4,5,13,2,0,Matches
323,Rui Patrício,pt POR,GK,Wolves,32-326,1988,17,0,0,0,0,0,0,0,,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
324,Bailey Peacock-Farrell,nir NIR,GK,Burnley,24-069,1996,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
325,Lee Peltier,eng ENG,DF,West Brom,34-026,1986,1,4,3,4,0,0,2,2,100,0,9,4,44.4,4,4,1,0,0,0,0,1,5,5,0,Matches
326,Nicolas Pépé,ci CIV,"FW,MF",Arsenal,25-222,1995,5.1,5,5,2,2,1,2,4,50,2,74,19,25.7,11,35,28,9,0,0,9,4,9,2,1,Matches
327,Matheus Pereira,br BRA,"MF,FW",West Brom,24-246,1996,10.2,15,9,6,7,2,3,16,18.8,13,153,51,33.3,35,80,38,10,0,0,10,9,24,11,0,Matches
328,Ayoze Pérez,es ESP,"MF,FW",Leicester City,27-167,1993,6,19,7,7,10,2,5,21,23.8,16,151,37,24.5,36,72,43,11,1,0,10,9,28,3,0,Matches
329,Kalvin Phillips,eng ENG,MF,Leeds United,25-035,1995,13.5,39,24,22,12,5,12,38,31.6,26,256,92,35.9,106,128,22,39,10,0,29,26,65,26,0,Matches
330,Matt Phillips,sco SCO,"MF,DF",West Brom,29-299,1991,7.2,8,4,2,3,3,2,10,20,8,121,28,23.1,39,50,32,16,1,1,15,4,12,8,0,Matches
331,Nathaniel Phillips,eng ENG,DF,Liverpool,23-291,1997,3,3,1,3,0,0,0,2,0,2,32,13,40.6,14,16,2,2,2,0,0,2,5,17,0,Matches
332,Jordan Pickford,eng ENG,GK,Everton,26-305,1994,14,0,0,0,0,0,0,1,0,1,5,1,20,5,0,0,1,0,0,1,0,0,2,1,Matches
333,Erik Pieters,nl NED,"DF,MF",Burnley,32-152,1988,4,10,4,4,6,0,3,8,37.5,5,65,10,15.4,29,25,11,10,0,0,10,0,10,10,0,Matches
334,Daniel Podence,pt POR,"FW,MF",Wolves,25-077,1995,12.4,14,7,2,7,5,4,14,28.6,10,148,46,31.1,30,66,52,5,1,0,4,12,26,4,0,Matches
335,Paul Pogba,fr FRA,"MF,FW",Manchester Utd,27-297,1993,9.6,19,14,7,10,2,5,18,27.8,13,141,42,29.8,43,66,32,10,1,0,9,7,26,20,0,Matches
336,Nick Pope,eng ENG,GK,Burnley,28-262,1992,14,1,0,1,0,0,1,2,50,1,4,1,25,4,0,0,0,0,0,0,0,1,1,0,Matches
337,Dennis Praet,be BEL,"MF,FW",Leicester City,26-237,1994,7.3,12,7,5,6,1,6,13,46.2,7,126,30,23.8,35,60,31,14,2,0,12,7,19,3,0,Matches
338,Davy Pröpper,nl NED,MF,Brighton,29-126,1991,1.2,4,3,0,4,0,0,1,0,1,14,9,64.3,5,8,1,1,0,0,1,0,4,0,0,Matches
339,Christian Pulisic,us USA,"FW,MF",Chelsea,22-110,1998,7.7,10,5,5,5,0,2,9,22.2,7,106,33,31.1,20,53,33,16,1,0,15,6,16,4,0,Matches
340,Aaron Ramsdale,eng ENG,GK,Sheffield Utd,22-237,1998,17,0,0,0,0,0,0,0,,0,4,1,25,3,0,1,0,0,0,0,0,0,0,2,Matches
341,Jacob Ramsey,eng ENG,"MF,FW",Aston Villa,19-223,2001,1.4,0,0,0,0,0,0,2,0,2,30,4,13.3,12,16,2,2,1,0,1,0,0,1,0,Matches
342,Darren Randolph,ie IRL,GK,West Ham,33-239,1987,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
343,Marcus Rashford,eng ENG,FW,Manchester Utd,23-067,1997,15.1,4,3,1,1,2,0,10,0,10,146,37,25.3,23,57,66,9,1,0,8,6,10,7,0,Matches
344,Tim Ream,us USA,DF,Fulham,33-093,1987,5,5,2,5,0,0,2,5,40,3,25,6,24,12,13,0,9,4,0,5,3,8,17,1,Matches
345,Nathan Redmond,eng ENG,MF,Southampton,26-306,1994,4.5,11,6,6,4,1,3,8,37.5,5,65,20,30.8,20,29,16,5,0,0,5,0,11,3,0,Matches
346,Harrison Reed,eng ENG,MF,Fulham,25-345,1995,7.9,15,8,6,7,2,5,27,18.5,22,142,39,27.5,57,64,21,13,3,0,10,13,28,9,0,Matches
347,Sergio Reguilón,es ESP,DF,Tottenham,24-021,1996,9.8,26,16,19,6,1,8,21,38.1,13,158,39,24.7,86,47,25,23,4,0,19,9,35,24,0,Matches
348,Bobby Reid,jm JAM,"DF,FW",Fulham,27-339,1993,10.3,12,6,5,5,2,4,12,33.3,8,145,40,27.6,47,58,40,17,2,0,15,8,20,10,0,Matches
349,Declan Rice,eng ENG,MF,West Ham,21-358,1999,17,45,32,27,17,1,18,35,51.4,17,262,85,32.4,111,132,19,28,4,0,24,30,75,18,1,Matches
350,Richarlison,br BRA,FW,Everton,23-241,1997,11.1,23,15,14,8,1,7,16,43.8,9,176,57,32.4,50,73,53,12,1,0,11,5,28,9,0,Matches
351,Jaïro Riedewald,nl NED,MF,Crystal Palace,24-119,1996,6.7,14,7,7,5,2,6,13,46.2,7,76,19,25,38,30,8,16,4,0,12,2,16,7,0,Matches
352,Matt Ritchie,sco SCO,"DF,MF",Newcastle Utd,31-118,1989,5.7,8,4,4,2,2,2,9,22.2,7,57,15,26.3,30,19,8,13,1,0,12,4,12,17,0,Matches
353,Tyler Roberts,wal WAL,"MF,FW",Leeds United,21-360,1999,2.7,3,1,1,2,0,0,4,0,4,61,13,21.3,8,31,22,4,1,0,3,0,3,1,0,Matches
354,Andrew Robertson,sco SCO,DF,Liverpool,26-301,1994,17,16,10,11,4,1,9,22,40.9,13,134,51,38.1,50,40,44,31,7,0,24,9,25,32,1,Matches
355,Antonee Robinson,us USA,DF,Fulham,23-151,1997,12,21,12,14,3,4,9,20,45,11,109,38,34.9,61,24,24,34,5,0,29,21,42,43,0,Matches
356,Callum Robinson,ie IRL,"FW,MF",West Brom,25-339,1995,9.4,4,1,1,1,2,1,8,12.5,7,134,35,26.1,16,48,70,6,0,0,6,4,8,7,0,Matches
357,Jack Robinson,eng ENG,DF,Sheffield Utd,27-127,1993,6.7,12,8,7,5,0,5,5,100,0,52,21,40.4,28,18,6,9,4,0,5,6,18,30,0,Matches
358,Hal Robson-Kanu,wal WAL,"FW,MF",West Brom,31-230,1989,1.6,1,1,1,0,0,0,0,,0,28,3,10.7,3,14,11,3,0,0,3,0,1,3,0,Matches
359,Marek Rodák,sk SVK,GK,Fulham,24-024,1996,1,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
360,Joe Rodon,wal WAL,DF,Tottenham,23-076,1997,1.1,1,1,1,0,0,1,1,100,0,5,2,40,3,2,0,1,1,0,0,1,2,8,1,Matches
361,Rodri,es ESP,MF,Manchester City,24-198,1996,14.1,31,26,10,16,5,14,37,37.8,23,216,79,36.6,76,111,29,21,5,0,16,12,43,27,1,Matches
362,Rodrigo,es ESP,MF,Leeds United,29-306,1991,9.1,12,8,7,3,2,1,16,6.3,15,145,37,25.5,31,72,42,8,0,0,8,3,15,5,0,Matches
363,James Rodríguez,co COL,"FW,MF",Everton,29-178,1991,9.6,10,6,2,6,2,4,24,16.7,20,119,33,27.7,35,57,27,14,0,0,14,7,17,1,0,Matches
364,Jay Rodriguez,eng ENG,"FW,MF",Burnley,31-161,1989,6.2,6,3,3,3,0,1,7,14.3,6,116,27,23.3,23,45,48,11,3,0,8,3,9,4,0,Matches
365,Oriol Romeu,es ESP,MF,Southampton,29-104,1991,14.5,51,24,20,27,4,14,45,31.1,31,249,75,30.1,90,139,20,24,6,0,18,15,66,13,0,Matches
366,Antonio Rüdiger,de GER,DF,Chelsea,27-309,1993,2,1,0,1,0,0,0,1,0,1,8,2,25,6,2,0,4,3,0,1,0,1,7,0,Matches
367,Mathew Ryan,au AUS,GK,Brighton,28-273,1992,11,0,0,0,0,0,0,0,,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,Matches
368,Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,23-300,1997,6.5,8,6,4,3,1,1,4,25,3,74,21,28.4,16,40,18,4,0,0,4,2,10,0,0,Matches
369,Romain Saïss,ma MAR,DF,Wolves,30-286,1990,11.7,13,9,11,2,0,4,12,33.3,8,102,36,35.3,70,30,2,25,8,1,17,11,24,72,0,Matches
370,Bukayo Saka,eng ENG,"FW,DF",Arsenal,19-123,2001,13.7,11,9,1,9,1,0,13,0,13,141,44,31.2,34,59,48,23,2,0,21,10,21,16,0,Matches
371,Mamadou Sakho,fr FRA,DF,Crystal Palace,30-328,1990,3.1,4,2,1,3,0,3,3,100,0,14,6,42.9,8,6,0,3,2,0,1,0,4,14,1,Matches
372,Mohamed Salah,eg EGY,FW,Liverpool,28-205,1992,15,16,8,4,6,6,5,8,62.5,3,186,67,36,14,53,119,6,1,0,5,3,19,3,0,Matches
373,Davinson Sánchez,co COL,DF,Tottenham,24-208,1996,5,11,9,9,2,0,3,9,33.3,6,40,13,32.5,29,11,0,5,2,0,3,2,13,28,0,Matches
374,Robert Sánchez,es ESP,GK,Brighton,23-049,1997,6,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
375,Romaine Sawyers,kn SKN,MF,West Brom,29-065,1991,12.7,21,13,13,7,1,9,29,31,20,263,62,23.6,130,112,21,15,2,0,13,20,41,9,1,Matches
376,Fabian Schär,ch SUI,DF,Newcastle Utd,29-017,1991,7.6,10,7,6,4,0,4,14,28.6,10,61,17,27.9,39,20,2,16,8,0,8,9,19,32,0,Matches
377,Jeffrey Schlupp,gh GHA,MF,Crystal Palace,28-014,1992,10.8,16,7,8,6,2,6,18,33.3,12,149,37,24.8,58,68,23,28,7,0,21,10,26,5,1,Matches
378,Kasper Schmeichel,dk DEN,GK,Leicester City,34-062,1986,17,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
379,Nélson Semedo,pt POR,DF,Wolves,27-051,1993,13.7,32,19,22,6,4,14,28,50,14,196,60,30.6,97,65,34,33,9,0,24,15,47,34,0,Matches
380,Jamie Shackleton,eng ENG,"MF,DF",Leeds United,21-090,1999,3.4,6,4,4,2,0,1,5,20,4,48,10,20.8,16,21,11,5,1,0,4,5,11,5,0,Matches
381,Xherdan Shaqiri,ch SUI,"MF,FW",Liverpool,29-088,1991,1,3,3,2,1,0,0,1,0,1,14,8,57.1,3,5,6,0,0,0,0,1,4,0,0,Matches
382,Billy Sharp,eng ENG,"FW,MF",Sheffield Utd,34-336,1986,2.1,1,0,0,1,0,0,2,0,2,46,16,34.8,4,15,27,2,0,0,2,1,2,0,0,Matches
383,Luke Shaw,eng ENG,DF,Manchester Utd,25-178,1995,10.9,30,21,15,9,6,12,20,60,8,143,60,42,52,66,25,26,2,0,24,7,37,21,1,Matches
384,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,28-314,1992,8.1,16,10,8,7,1,4,15,26.7,11,113,20,17.7,41,52,20,11,5,1,6,4,20,13,0,Matches
385,Gylfi Sigurðsson,is ISL,MF,Everton,31-120,1989,9.2,14,9,5,7,2,3,19,15.8,16,184,53,28.8,59,87,38,24,2,0,22,10,24,6,0,Matches
386,Bernardo Silva,pt POR,"FW,MF",Manchester City,26-149,1994,7.2,12,8,4,7,1,4,15,26.7,11,131,38,29,28,65,38,5,1,0,4,3,15,3,0,Matches
387,Fábio Silva,pt POR,FW,Wolves,18-171,2002,5.9,4,2,1,3,0,1,3,33.3,2,74,14,18.9,8,47,19,4,0,0,4,2,6,2,0,Matches
388,Thiago Silva,br BRA,DF,Chelsea,36-106,1984,11.8,14,8,11,2,1,7,11,63.6,4,52,18,34.6,24,25,3,17,10,0,7,15,29,56,1,Matches
389,Moussa Sissoko,fr FRA,MF,Tottenham,31-143,1989,11.8,19,15,16,3,0,7,14,50,7,157,48,30.6,94,52,11,17,3,0,14,10,29,18,0,Matches
390,Islam Slimani,dz ALG,FW,Leicester City,32-202,1988,0.2,0,0,0,0,0,0,0,,0,5,2,40,0,3,2,0,0,0,0,0,0,0,0,Matches
391,William Smallbone,ie IRL,MF,Southampton,20-320,2000,1.2,3,1,2,1,0,0,3,0,3,22,9,40.9,5,11,6,1,0,0,1,1,4,0,0,Matches
392,Emile Smith-Rowe,eng ENG,MF,Arsenal,20-162,2000,2.5,3,3,1,2,0,2,4,50,2,41,10,24.4,9,20,12,1,0,0,1,1,4,3,0,Matches
393,Robert Snodgrass,sco SCO,"FW,DF",West Ham,33-121,1987,0.1,1,1,0,0,1,0,0,,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,Matches
394,Cédric Soares,pt POR,MF,Arsenal,29-128,1991,0.1,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
395,Tomáš Sou?ek,cz CZE,MF,West Ham,25-314,1995,17,33,19,12,17,4,12,41,29.3,29,253,67,26.5,89,125,39,21,4,0,17,23,56,48,1,Matches
396,Ça?lar Söyüncü,tr TUR,DF,Leicester City,24-228,1996,4.1,4,4,1,3,0,1,4,25,3,37,14,37.8,21,14,2,8,4,0,4,4,8,17,1,Matches
397,Zack Steffen,us USA,GK,Manchester City,25-279,1995,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
398,Dale Stephens,eng ENG,MF,Burnley,31-208,1989,2.6,8,4,3,4,1,4,7,57.1,3,36,14,38.9,10,23,3,3,0,0,3,2,10,0,0,Matches
399,Jack Stephens,eng ENG,DF,Southampton,26-345,1994,6.5,16,8,10,5,1,7,15,46.7,8,57,19,33.3,32,22,3,10,5,0,5,8,24,37,0,Matches
400,Raheem Sterling,eng ENG,FW,Manchester City,26-029,1994,13.1,13,13,1,9,3,4,12,33.3,8,148,44,29.7,20,70,58,11,0,0,11,3,16,1,0,Matches
401,Enda Stevens,ie IRL,DF,Sheffield Utd,30-181,1990,14,29,15,15,10,4,9,25,36,16,169,44,26,82,56,31,31,6,0,25,19,48,45,1,Matches
402,John Stones,eng ENG,DF,Manchester City,26-223,1994,7,6,3,4,2,0,3,5,60,2,31,8,25.8,13,17,1,12,4,0,8,4,10,19,0,Matches
403,Pascal Struijk,nl NED,"DF,MF",Leeds United,21-148,1999,6.3,10,5,7,3,0,3,10,30,7,91,31,34.1,41,42,8,8,3,0,5,9,19,28,0,Matches
404,Matt Targett,eng ENG,DF,Aston Villa,25-110,1995,15,33,23,14,10,9,17,35,48.6,18,131,50,38.2,59,48,24,30,6,0,24,11,44,46,0,Matches
405,James Tarkowski,eng ENG,DF,Burnley,28-048,1992,13,28,15,23,4,1,12,20,60,8,89,39,43.8,59,27,3,23,14,0,9,14,42,86,1,Matches
406,Charlie Taylor,eng ENG,DF,Burnley,27-110,1993,14.1,26,13,15,7,4,14,26,53.8,12,111,29,26.1,52,43,16,34,9,0,25,7,33,43,0,Matches
407,Nathan Tella,eng ENG,"FW,MF",Southampton,21-185,1999,1.8,1,0,0,1,0,1,2,50,1,47,11,23.4,5,24,18,3,0,0,3,0,1,1,0,Matches
408,Alex Telles,br BRA,DF,Manchester Utd,28-022,1992,4.8,8,4,7,1,0,3,7,42.9,4,44,13,29.5,21,15,8,8,0,0,8,6,14,16,0,Matches
409,Kenny Tete,nl NED,DF,Fulham,25-089,1995,1.4,4,2,2,1,1,0,2,0,2,18,4,22.2,8,7,3,3,0,0,3,0,4,3,0,Matches
410,Luke Thomas,eng ENG,DF,Leicester City,,,3,5,2,2,0,3,2,5,40,3,56,19,33.9,22,25,9,8,0,0,8,5,10,7,0,Matches
411,Youri Tielemans,be BEL,MF,Leicester City,23-244,1997,16.4,27,22,12,11,4,6,39,15.4,33,237,81,34.2,75,119,43,25,4,0,21,12,39,7,0,Matches
412,Kieran Tierney,sco SCO,DF,Arsenal,23-215,1997,15.9,17,9,6,8,3,5,15,33.3,10,104,34,32.7,43,43,18,32,7,0,25,11,28,48,0,Matches
413,James Tomkins,eng ENG,DF,Crystal Palace,31-283,1989,2.3,1,1,1,0,0,1,2,50,1,12,4,33.3,9,3,0,2,0,0,2,1,2,18,0,Matches
414,Fikayo Tomori,eng ENG,DF,Chelsea,23-018,1997,0.5,3,2,1,2,0,2,2,100,0,3,1,33.3,3,0,0,4,3,0,1,1,4,8,0,Matches
415,Ferrán Torres,es ESP,FW,Manchester City,20-312,2000,6.3,3,1,1,2,0,2,7,28.6,5,70,20,28.6,11,30,29,3,1,0,2,1,4,0,1,Matches
416,Cenk Tosun,tr TUR,FW,Everton,29-213,1991,0.5,0,0,0,0,0,0,0,,0,8,1,12.5,2,4,2,0,0,0,0,0,0,0,0,Matches
417,Andros Townsend,eng ENG,MF,Crystal Palace,29-174,1991,12.4,36,20,18,12,6,12,40,30,28,246,67,27.2,117,93,36,27,1,0,26,19,55,7,0,Matches
418,Conor Townsend,eng ENG,DF,West Brom,27-308,1993,7.8,14,9,9,5,0,7,13,53.8,6,87,24,27.6,40,33,14,13,7,1,6,7,21,15,0,Matches
419,Adama Traoré,es ESP,"FW,DF",Wolves,24-347,1996,11.5,16,10,10,5,1,6,11,54.5,5,133,48,36.1,37,73,23,11,0,0,11,3,19,7,0,Matches
420,Bertrand Traoré,bf BFA,"FW,MF",Aston Villa,25-122,1995,6.8,6,2,3,1,2,2,10,20,8,102,20,19.6,26,41,35,4,0,0,4,5,11,9,0,Matches
421,Trézéguet,eg EGY,FW,Aston Villa,26-097,1994,8,21,11,9,9,3,7,21,33.3,14,173,37,21.4,54,72,47,18,1,0,17,6,27,13,0,Matches
422,Leandro Trossard,be BEL,"FW,MF",Brighton,26-033,1994,11.4,9,7,2,6,1,2,10,20,8,127,46,36.2,34,50,43,17,1,0,16,4,13,3,0,Matches
423,Axel Tuanzebe,eng ENG,DF,Manchester Utd,23-053,1997,0.6,1,0,0,1,0,1,2,50,1,11,2,18.2,6,4,1,3,1,0,2,0,1,1,0,Matches
424,Cengiz Ünder,tr TUR,"MF,FW",Leicester City,23-176,1997,2.3,3,3,0,2,1,1,2,50,1,36,14,38.9,11,14,11,4,0,0,4,3,6,0,0,Matches
425,Yan Valery,fr FRA,MF,Southampton,21-319,1999,0.1,0,0,0,0,0,0,0,,0,2,0,0,1,1,0,1,0,0,1,0,0,0,0,Matches
426,Jamie Vardy,eng ENG,FW,Leicester City,33-361,1987,14.5,5,2,1,1,3,0,7,0,7,138,33,23.9,5,48,85,5,3,0,2,3,8,17,0,Matches
427,Joël Veltman,nl NED,DF,Brighton,28-357,1992,9.6,32,17,21,9,2,14,23,60.9,9,94,36,38.3,51,30,13,14,3,0,11,8,40,26,0,Matches
428,Jannik Vestergaard,dk DEN,DF,Southampton,28-156,1992,12.5,19,14,11,6,2,9,20,45,11,82,38,46.3,52,27,3,16,10,0,6,14,33,67,0,Matches
429,Rúben Vinagre,pt POR,DF,Wolves,21-272,1999,1.9,5,3,3,2,0,2,5,40,3,26,5,19.2,13,9,4,4,0,0,4,1,6,6,0,Matches
430,Carlos Vinícius,br BRA,FW,Tottenham,25-287,1995,0.2,0,0,0,0,0,0,0,,0,7,4,57.1,0,5,2,0,0,0,0,0,0,0,0,Matches
431,Vitinha,pt POR,MF,Wolves,20-328,2000,1.9,4,2,0,3,1,0,2,0,2,39,9,23.1,12,22,5,0,0,0,0,0,4,1,0,Matches
432,Mat?j Vydra,cz CZE,FW,Burnley,28-250,1992,1.9,1,1,1,0,0,0,2,0,2,44,10,22.7,3,22,19,6,1,0,5,0,1,0,0,Matches
433,Theo Walcott,eng ENG,"MF,FW",Southampton,31-296,1989,11.2,21,14,9,9,3,9,31,29,22,206,61,29.6,58,85,63,15,1,0,14,6,27,3,0,Matches
434,Theo Walcott,eng ENG,FW,Everton,31-296,1989,0.1,0,0,0,0,0,0,0,,0,5,1,20,3,2,0,0,0,0,0,0,0,0,0,Matches
435,Kyle Walker,eng ENG,DF,Manchester City,30-223,1990,11,20,16,10,8,2,9,18,50,9,115,40,34.8,47,47,21,18,3,0,15,9,29,21,0,Matches
436,Kyle Walker-Peters,eng ENG,DF,Southampton,23-268,1997,17,52,30,33,17,2,14,31,45.2,17,230,80,34.8,116,90,24,44,12,0,32,22,74,36,2,Matches
437,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,23-041,1997,14,50,27,28,19,3,13,22,59.1,9,187,60,32.1,85,76,26,52,7,0,45,19,69,37,0,Matches
438,Joel Ward,eng ENG,DF,Crystal Palace,31-069,1989,8,14,9,9,5,0,6,9,66.7,3,99,29,29.3,46,30,23,23,6,0,17,11,25,37,0,Matches
439,James Ward-Prowse,eng ENG,MF,Southampton,26-066,1994,17,37,28,17,17,3,11,33,33.3,22,236,79,33.5,70,132,34,32,2,0,30,17,54,33,0,Matches
440,Ollie Watkins,eng ENG,FW,Aston Villa,25-007,1995,15,16,10,1,10,5,4,13,30.8,9,216,78,36.1,7,90,119,11,0,0,11,5,21,6,0,Matches
441,Adam Webster,eng ENG,DF,Brighton,26-002,1995,16,18,11,13,4,1,11,17,64.7,6,96,40,41.7,42,42,12,17,8,1,9,14,32,45,0,Matches
442,Danny Welbeck,eng ENG,FW,Brighton,30-041,1990,6.9,7,4,1,3,3,2,7,28.6,5,92,20,21.7,14,41,37,8,2,0,6,1,8,7,0,Matches
443,Timo Werner,de GER,FW,Chelsea,24-306,1996,15.1,15,9,7,5,3,4,25,16,21,172,56,32.6,46,60,66,14,0,0,14,3,18,1,0,Matches
444,Ashley Westwood,eng ENG,MF,Burnley,30-280,1990,15,14,7,6,7,1,4,15,26.7,11,201,57,28.4,55,117,29,21,4,0,17,12,26,14,0,Matches
445,Ben White,eng ENG,"DF,MF",Brighton,23-090,1997,15.5,34,17,18,12,4,15,39,38.5,24,180,63,35,82,87,11,26,10,0,16,14,48,32,0,Matches
446,Georginio Wijnaldum,nl NED,MF,Liverpool,30-056,1990,15,24,19,7,12,5,9,20,45,11,189,70,37,53,85,51,21,3,0,18,7,31,8,1,Matches
447,Brandon Williams,eng ENG,DF,Manchester Utd,20-125,2000,0.1,1,1,0,1,0,0,0,,0,3,2,66.7,0,3,0,0,0,0,0,0,1,0,0,Matches
448,Neco Williams,wal WAL,DF,Liverpool,19-268,2001,1.9,2,2,2,0,0,2,4,50,2,25,8,32,12,6,7,4,0,0,4,4,6,1,0,Matches
449,Rhys Williams,eng ENG,DF,Liverpool,19-338,2001,1.3,1,1,0,1,0,0,0,,0,5,1,20,0,3,2,0,0,0,0,0,1,10,1,Matches
450,Willian,br BRA,"FW,MF",Arsenal,32-150,1988,10,10,3,3,6,1,4,18,22.2,14,128,29,22.7,32,50,46,17,0,0,17,4,14,3,0,Matches
451,Joe Willock,eng ENG,MF,Arsenal,21-139,1999,2.6,4,4,2,1,1,0,7,0,7,40,15,37.5,14,15,11,9,1,0,8,5,9,0,0,Matches
452,Callum Wilson,eng ENG,FW,Newcastle Utd,28-314,1992,13.7,6,4,2,1,3,1,4,25,3,206,61,29.6,16,82,108,14,3,0,11,1,7,7,1,Matches
