,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
253,Alexis Mac Allister,ar ARG,"FW,MF",Brighton,22-013,1998,1.5,1,0.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
254,James Maddison,eng ENG,"MF,FW",Leicester City,24-044,1996,10.7,50,4.67,26,13,2,1,6,2,8,0.75,4,1,0,0,2,1,0,Matches
255,Harry Maguire,eng ENG,DF,Manchester Utd,27-307,1993,16,15,0.94,11,0,1,1,1,1,3,0.19,1,0,0,1,0,1,0,Matches
256,Riyad Mahrez,dz ALG,"FW,DF",Manchester City,29-320,1991,8.6,36,4.21,26,5,1,2,1,1,2,0.23,0,1,1,0,0,0,0,Matches
257,Ainsley Maitland-Niles,eng ENG,DF,Arsenal,23-130,1997,4.7,7,1.48,5,1,0,0,1,0,1,0.21,0,0,0,0,1,0,0,Matches
258,Sadio Mané,sn SEN,FW,Liverpool,28-271,1992,14.8,55,3.72,38,0,3,5,8,1,6,0.41,2,0,0,2,1,1,0,Matches
259,Javier Manquillo,es ESP,DF,Newcastle Utd,26-246,1994,5.1,5,0.98,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
260,Fernando Marçal,br BRA,DF,Wolves,31-322,1989,6.3,3,0.47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
261,Solly March,eng ENG,DF,Brighton,26-170,1994,14.6,43,2.95,33,6,3,1,0,0,3,0.21,2,1,0,0,0,0,0,Matches
262,Pablo Marí,es ESP,DF,Arsenal,27-128,1993,3,1,0.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
263,Anthony Martial,fr FRA,FW,Manchester Utd,25-032,1995,9.2,24,2.62,16,0,2,3,3,0,6,0.65,2,0,0,2,2,0,0,Matches
264,Martinelli,br BRA,FW,Arsenal,19-202,2001,1.7,3,1.74,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
265,Emiliano Martínez,ar ARG,GK,Aston Villa,28-126,1992,15,3,0.2,3,0,0,0,0,0,1,0.07,1,0,0,0,0,0,0,Matches
266,Arthur Masuaku,cd COD,DF,West Ham,27-060,1993,9.4,29,3.07,20,2,4,2,1,0,2,0.21,2,0,0,0,0,0,0,Matches
267,Juan Mata,es ESP,FW,Manchester Utd,32-253,1988,3.7,18,4.84,12,4,0,2,0,0,5,1.34,3,1,0,1,0,0,0,Matches
268,Nemanja Mati?,rs SRB,MF,Manchester Utd,32-158,1988,6.1,7,1.14,7,0,0,0,0,0,1,0.16,1,0,0,0,0,0,0,Matches
269,Joël Matip,cm CMR,DF,Liverpool,29-151,1991,6.2,6,0.97,5,0,0,1,0,0,2,0.32,1,0,0,1,0,0,0,Matches
270,Neal Maupay,fr FRA,"FW,MF",Brighton,24-145,1996,12.4,29,2.33,21,0,3,1,3,1,4,0.32,3,0,0,0,1,0,0,Matches
271,James McArthur,sco SCO,MF,Crystal Palace,33-091,1987,13.3,16,1.2,15,0,0,0,1,0,1,0.08,1,0,0,0,0,0,0,Matches
272,Oliver McBurnie,sco SCO,FW,Sheffield Utd,24-216,1996,9.2,17,1.85,14,0,0,2,1,0,1,0.11,0,0,0,0,1,0,0,Matches
273,Alex McCarthy,eng ENG,GK,Southampton,31-034,1989,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
274,James McCarthy,ie IRL,MF,Crystal Palace,30-055,1990,3.7,5,1.36,3,1,0,0,0,1,1,0.27,0,0,0,0,0,1,0,Matches
275,John McGinn,sco SCO,MF,Aston Villa,26-080,1994,15,46,3.07,38,1,2,1,4,0,9,0.6,6,1,1,0,1,0,0,Matches
276,David McGoldrick,ie IRL,"FW,MF",Sheffield Utd,33-038,1987,10.3,16,1.56,9,1,4,0,1,1,1,0.1,1,0,0,0,0,0,0,Matches
277,Dwight McNeil,eng ENG,MF,Burnley,21-045,1999,13,27,2.08,16,7,0,0,4,0,2,0.15,1,1,0,0,0,0,0,Matches
278,Scott McTominay,sco SCO,MF,Manchester Utd,24-029,1996,10.2,19,1.86,13,0,0,1,3,2,3,0.29,1,0,0,0,1,1,0,Matches
279,Ben Mee,eng ENG,DF,Burnley,31-105,1989,9,2,0.22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
280,Benjamin Mendy,fr FRA,DF,Manchester City,26-173,1994,5.6,5,0.89,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
281,Edouard Mendy,sn SEN,GK,Chelsea,28-311,1992,13,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
282,Nampalys Mendy,fr FRA,MF,Leicester City,28-197,1992,12.3,10,0.81,6,0,0,0,2,2,1,0.08,1,0,0,0,0,0,0,Matches
283,Illan Meslier,fr FRA,GK,Leeds United,20-310,2000,17,2,0.12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
284,Luka Milivojevi?,rs SRB,MF,Crystal Palace,29-274,1991,9.1,22,2.43,11,8,1,0,1,1,1,0.11,0,1,0,0,0,0,0,Matches
285,James Milner,eng ENG,"MF,DF",Liverpool,35-002,1986,3.9,8,2.07,4,3,0,0,0,1,1,0.26,0,1,0,0,0,0,0,Matches
286,Yerry Mina,co COL,DF,Everton,26-105,1994,14,2,0.14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
287,Takumi Minamino,jp JPN,"MF,FW",Liverpool,25-356,1995,3.2,6,1.89,3,0,1,1,1,0,1,0.31,0,0,1,0,0,0,0,Matches
288,Tyrone Mings,eng ENG,DF,Aston Villa,27-299,1993,13.5,9,0.67,7,0,1,1,0,0,1,0.07,1,0,0,0,0,0,0,Matches
289,Tyrick Mitchell,eng ENG,DF,Crystal Palace,21-127,1999,8,5,0.62,5,0,0,0,0,0,2,0.25,2,0,0,0,0,0,0,Matches
290,Aleksandar Mitrovi?,rs SRB,FW,Fulham,26-112,1994,8.8,22,2.5,16,1,3,1,1,0,3,0.34,2,0,0,1,0,0,0,Matches
291,Jayson Molumby,ie IRL,MF,Brighton,21-153,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
292,Wes Morgan,jm JAM,DF,Leicester City,36-351,1984,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
293,Mason Mount,eng ENG,"MF,FW",Chelsea,21-362,1999,15,57,3.8,28,22,2,2,2,1,7,0.47,1,4,0,2,0,0,0,Matches
294,Lucas Moura,br BRA,"FW,MF",Tottenham,28-146,1992,5.1,7,1.36,7,0,0,0,0,0,1,0.19,1,0,0,0,0,0,0,Matches
295,Lys Mousset,fr FRA,FW,Sheffield Utd,24-333,1996,2.3,4,1.77,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
296,João Moutinho,pt POR,MF,Wolves,34-120,1986,11.9,35,2.95,20,12,0,2,0,1,2,0.17,1,1,0,0,0,0,0,Matches
